"","ECO","SITE","HAB","HAB_ST","TREE.NO","TREE.SP","SAMPLE","FGR","F1","F2","F3","F4","F5","F6"
"1","NCTP","BR","M","BR_F_M",1,"Hickory",1,1,0,0,0,0,2,0
"2","NCTP","BR","M","BR_F_M",1,"Hickory",2,0,0,0,0,0,0,0
"3","NCTP","BR","M","BR_F_M",1,"Hickory",3,0,0,0,0,0,0,0
"4","NCTP","BR","M","BR_F_M",1,"Hickory",4,1,0,0,0,0,2,0
"5","NCTP","BR","M","BR_F_M",1,"Hickory",5,3,0,0,1,0,5,1
"6","NCTP","BR","M","BR_F_M",1,"Hickory",6,1,0,0,0,0,1,0
"7","NCTP","BR","M","BR_F_M",1,"Hickory",7,1,0,0,0,0,3,0
"8","NCTP","BR","M","BR_F_M",1,"Hickory",8,0,0,0,0,0,0,0
"9","NCTP","BR","M","BR_F_M",1,"Hickory",9,0,0,0,0,0,0,0
"10","NCTP","BR","M","BR_F_M",1,"Hickory",10,0,0,0,0,0,0,0
"11","NCTP","BR","M","BR_F_M",1,"Hickory",11,2,0,0,0,0,15,1
"12","NCTP","BR","M","BR_F_M",1,"Hickory",12,2,1,0,0,0,1,0
"13","NCTP","BR","M","BR_F_M",2,"Maple",1,2,1,0,0,0,4,0
"14","NCTP","BR","M","BR_F_M",2,"Maple",2,1,0,0,0,0,0,4
"15","NCTP","BR","M","BR_F_M",2,"Maple",3,0,0,0,0,0,0,0
"16","NCTP","BR","M","BR_F_M",2,"Maple",4,0,0,0,0,0,0,0
"17","NCTP","BR","M","BR_F_M",2,"Maple",5,0,0,0,0,0,0,0
"18","NCTP","BR","M","BR_F_M",2,"Maple",6,0,0,0,0,0,0,0
"19","NCTP","BR","M","BR_F_M",2,"Maple",7,1,0,0,2,0,0,0
"20","NCTP","BR","M","BR_F_M",2,"Maple",8,1,0,0,0,0,2,0
"21","NCTP","BR","M","BR_F_M",2,"Maple",9,0,0,0,0,0,0,0
"22","NCTP","BR","M","BR_F_M",2,"Maple",10,1,0,0,1,0,0,0
"23","NCTP","BR","M","BR_F_M",2,"Maple",11,0,0,0,0,0,0,0
"24","NCTP","BR","M","BR_F_M",2,"Maple",12,0,0,0,0,0,0,0
"25","NCTP","BR","M","BR_F_M",3,"Maple",1,0,0,0,0,0,0,0
"26","NCTP","BR","M","BR_F_M",3,"Maple",2,0,0,0,0,0,0,0
"27","NCTP","BR","M","BR_F_M",3,"Maple",3,0,0,0,0,0,0,0
"28","NCTP","BR","M","BR_F_M",3,"Maple",4,0,0,0,0,0,0,0
"29","NCTP","BR","M","BR_F_M",3,"Maple",5,0,0,0,0,0,0,0
"30","NCTP","BR","M","BR_F_M",3,"Maple",6,0,0,0,0,0,0,0
"31","NCTP","BR","M","BR_F_M",3,"Maple",7,0,0,0,0,0,0,0
"32","NCTP","BR","M","BR_F_M",3,"Maple",8,1,0,0,0,0,1,0
"33","NCTP","BR","M","BR_F_M",3,"Maple",9,0,0,0,0,0,0,0
"34","NCTP","BR","M","BR_F_M",3,"Maple",10,0,0,0,0,0,0,0
"35","NCTP","BR","M","BR_F_M",3,"Maple",11,0,0,0,0,0,0,0
"36","NCTP","BR","M","BR_F_M",3,"Maple",12,1,0,0,0,0,1,0
"37","NCTP","BR","M","BR_F_M",4,"Sycamore",1,1,0,0,0,1,0,0
"38","NCTP","BR","M","BR_F_M",4,"Sycamore",2,3,0,0,4,1,1,0
"39","NCTP","BR","M","BR_F_M",4,"Sycamore",3,2,0,0,1,3,0,0
"40","NCTP","BR","M","BR_F_M",4,"Sycamore",4,1,0,0,0,2,0,0
"41","NCTP","BR","M","BR_F_M",4,"Sycamore",5,2,0,0,1,2,0,0
"42","NCTP","BR","M","BR_F_M",4,"Sycamore",6,1,0,0,4,0,0,0
"43","NCTP","BR","M","BR_F_M",4,"Sycamore",7,2,0,0,3,2,0,0
"44","NCTP","BR","M","BR_F_M",4,"Sycamore",8,1,0,0,0,1,0,0
"45","NCTP","BR","M","BR_F_M",4,"Sycamore",9,3,0,0,2,1,1,0
"46","NCTP","BR","M","BR_F_M",4,"Sycamore",10,2,0,0,11,2,0,0
"47","NCTP","BR","M","BR_F_M",4,"Sycamore",11,1,0,0,0,1,0,0
"48","NCTP","BR","M","BR_F_M",4,"Sycamore",12,2,0,0,2,1,0,0
"49","NCTP","BR","X","BR_F_X",5,"Ash",1,1,0,0,0,0,2,0
"50","NCTP","BR","X","BR_F_X",5,"Ash",2,1,0,0,0,0,1,0
"51","NCTP","BR","X","BR_F_X",5,"Ash",3,0,0,0,0,0,0,0
"52","NCTP","BR","X","BR_F_X",5,"Ash",4,1,0,0,0,0,2,0
"53","NCTP","BR","X","BR_F_X",5,"Ash",5,1,0,0,0,0,2,0
"54","NCTP","BR","X","BR_F_X",5,"Ash",6,0,0,0,0,0,0,0
"55","NCTP","BR","X","BR_F_X",5,"Ash",7,1,0,0,0,0,3,0
"56","NCTP","BR","X","BR_F_X",5,"Ash",8,1,0,0,0,0,1,0
"57","NCTP","BR","X","BR_F_X",5,"Ash",9,2,0,0,1,0,1,0
"58","NCTP","BR","X","BR_F_X",5,"Ash",10,1,0,0,0,0,1,0
"59","NCTP","BR","X","BR_F_X",5,"Ash",11,2,0,0,0,0,1,1
"60","NCTP","BR","X","BR_F_X",5,"Ash",12,1,0,0,0,0,1,0
"61","NCTP","BR","X","BR_F_X",6,"Maple",1,1,0,0,0,1,0,0
"62","NCTP","BR","X","BR_F_X",6,"Maple",2,1,0,0,0,0,5,0
"63","NCTP","BR","X","BR_F_X",6,"Maple",3,0,0,0,0,0,0,0
"64","NCTP","BR","X","BR_F_X",6,"Maple",4,0,0,0,0,0,0,0
"65","NCTP","BR","X","BR_F_X",6,"Maple",5,1,0,0,0,0,1,0
"66","NCTP","BR","X","BR_F_X",6,"Maple",6,1,0,0,0,1,0,0
"67","NCTP","BR","X","BR_F_X",6,"Maple",7,0,0,0,0,0,0,0
"68","NCTP","BR","X","BR_F_X",6,"Maple",8,1,0,0,0,0,1,0
"69","NCTP","BR","X","BR_F_X",6,"Maple",9,0,0,0,0,0,0,0
"70","NCTP","BR","X","BR_F_X",6,"Maple",10,2,0,0,0,2,10,0
"71","NCTP","BR","X","BR_F_X",6,"Maple",11,1,0,0,1,0,0,0
