ID,Achaearanea_sp1,Agroeca_minuta,Anyphaena_pectorosa,Araneus_cavaticus,Araneus_juniperi,Araneus_niveus,Araniella_displicata,Argiope_aurantia,Bassaniana_versicolor,Bathyphantes_pallidus,Castianeira_longipalpa,Ceraticelus_sp1,Clubiona_pygmaea,Colonus_sylvanus,Coras_sp1,Cyclosa_conica,Dipoena_nigra,Dolomedes_albinenus,Dolomedes_scriptus,Elaver_excepta,Emblyna_annulipes,Emblyna_cruciata,Enoplognatha_marmorata,Enoplognatha_ovata,Eris_flava,Eris_militaris,Euryopis_funebris,Eustala_emertoni,Eustala_sp1,Gea_heptagon,Grammonota_pictilis,Hentzia_mitrata,Herpyllus_ecclesiasticus,Leucauge_venusta,Linyphiidae_unk_sp1,Linyphiidae_unk_sp2,Linyphiidae_unk_sp3,Linyphiidae_unk_sp4,Linyphiidae_unk_sp5,Linyphiidae_unk_sp6,Linyphiidae_unk_sp7,Linyphiidae_unk_sp8,Liocranidae_unk_sp1,Lycosidae_unk_sp1,Maevia_inclemens,Mangora_gibberosa,Mangora_maculata,Mangora_placida,Marpissa_lineata,Meriola_decepta,Metepeira_labyrinthea,Micrathena_gracilis,Micrathena_mitrata,Microlinyphia_mandibulata,Misumena_vatia,Misumessus_oblongus,Neon_plutonus,Neoscona_crucifera,Neoscona_domiciliorum,Neospintharus_trigonum,Neriene_radiata,Neriene_variabilis,Ocrepeira_georgia,Ozyptila_sp1,Parasteatoda_tepidariorum,Peckhamia_picata,Pelecopsis_moesta,Phidippus_audax,Phidippus_mystaceus,Philodromidae_unk_sp1,Philodromus_cespitum,Philodromus_exilis,Philodromus_spectabilis,Phoroncidia_americana,Phrurotimpus_alarius,Phrurotimpus_borealis,Pisaurina_mira,Platycryptus_undatus,Spintharus_flavidus,Strotarchus_piscatorius,Synema_parvulum,Talanites_echinus,Tennesseellum_formica,Tetragnatha_caudata,Theridiidae_unk_sp1,Theridion_glaucescens,Theridion_hemerobium,Theridion_murarium,Theridion_sp2,Theridula_emertoni,Thomisidae_unk_sp1,Tigrosa_grandis,Tmarus_angulatus,Verrucosa_arenata,Wamba_crispulus,Wulfila_albens,Xysticus_discursans
NCTP_BROK_Far,0,2,5,1,0,0,2,0,2,7,1,0,2,1,0,0,0,1,0,0,0,0,0,2,0,9,5,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,5,0,2,0,0,0,1,0,0,1,1,6,0,10,1,0,0,1,0,1,0,0,0
NCTP_BROK_Near,0,0,6,0,1,3,0,2,1,5,0,0,1,0,0,0,0,0,0,1,0,0,1,3,2,4,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,2,0,0,1,0,3,0,0,0,0
NCTP_CACR_Far,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,8,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,2,0,0,2,0
NCTP_CACR_Near,0,0,18,0,0,3,1,0,1,2,0,2,0,0,0,1,2,0,2,0,5,0,0,5,1,6,4,0,1,0,0,3,0,2,10,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,4,1,0,1,0,5,0,0,0,0,0,0,1,3,0,5,0
WAP_CLCR_CemRd,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,3,0,1,7,0,0,1,1,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,9,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,0,2,1,0,0,0,1,0,1,0,0
WAP_CLCR_MemRock,1,0,0,0,1,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0
WAP_EOA_Chalet,0,0,0,2,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,0,0,0,0,0,0,5,27,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,18,0,0,0,0,3,0,3,1,2,0,0,1,0,6,0,0,0,3
WAP_EOA_Lynx,0,0,2,0,3,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,35,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,2,2,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,4,0,1,0,0,0,2,4,0,0,0,0,0,0,6,0,0,0,0
NCTP_HWSP_Left,0,0,1,1,3,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,3,1,0,0,1,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,9,0,3,0,0,0,0,3,2,1,0,0
NCTP_HWSP_Right,0,1,1,0,2,0,2,0,2,5,2,0,0,1,1,0,0,0,0,0,1,2,0,0,0,4,1,0,1,0,0,9,4,3,4,0,1,0,0,0,0,0,0,0,0,2,2,1,3,1,3,2,1,0,0,0,7,0,1,1,3,0,0,0,0,0,0,1,1,0,5,1,0,0,0,0,0,4,7,1,0,0,1,0,1,7,0,0,0,0,0,0,1,0,0,0,0
